	Team	Minutes	Goals	Assists	Penalty Shoot on Goal	Penalty Shoot	Total Shoot	Shoot on Target	Yellow Cards	Red Cards	Touches	Dribbles	Tackles	Blocks	Shot-Creating Actions	Goal-Creating Actions	Passes Completed	Passes Attempted	Pass Completion %	Progressive Passes	Carries	Progressive Carries	Dribble Attempts	Successful Dribbles	Div	Date	Time	HomeTeam	AwayTeam	FTHG	FTAG	FTR	HTHG	HTAG	HTR	HREMONTADA	AREMONTADA	Referee	NB_MATCHES_PLAYED	NB_VICTORIES	PERCENTAGE_OF_VICTORIES
0	Man United	990	1	1	0	0	14	5	2	0	640	21	19	11	24	2	430	524	1338	43	420	15	21	8	22	22	22	22	22	22	22	22	22	22	22	22	22	22	49.0	22	0.4489795918367347
1	Fulham	990	0	0	0	0	10	2	3	0	540	24	9	9	19	0	329	424	1162	28	329	17	22	8	18	18	18	18	18	18	18	18	18	18	18	18	18	18	49.0	18	0.3673469387755102
2	Liverpool	990	2	1	0	0	18	5	1	0	720	9	5	14	29	4	520	620	1239	39	407	25	23	11	33	33	33	33	33	33	33	33	33	33	33	33	33	33	49.0	33	0.673469387755102
3	Newcastle	990	1	1	0	0	14	5	2	0	658	21	4	10	26	2	428	552	1245	45	388	19	15	6	23	23	23	23	23	23	23	23	23	23	23	23	23	23	49.0	23	0.46938775510204084
4	Nott'm Forest	990	1	0	0	0	14	8	1	0	677	24	7	12	26	1	420	543	1241	37	299	18	23	9	14	14	14	14	14	14	14	14	14	14	14	14	14	14	49.0	14	0.2857142857142857
5	Bournemouth	990	1	0	0	0	13	4	3	0	628	18	14	13	24	2	363	485	1148	49	327	18	20	5	17	17	17	17	17	17	17	17	17	17	17	17	17	17	49.0	17	0.3469387755102041
6	Everton	990	2	1	0	0	6	2	4	0	380	24	6	7	11	3	203	272	1095	16	161	14	22	7	15	15	15	15	15	15	15	15	15	15	15	15	15	15	49.0	15	0.30612244897959184
7	Brighton	990	3	3	0	0	10	5	1	0	711	21	8	11	19	5	510	605	1279	38	456	18	18	6	17	17	17	17	17	17	17	17	17	17	17	17	17	17	49.0	17	0.3469387755102041
8	Arsenal	990	2	2	0	0	18	6	2	0	569	18	8	6	35	4	382	458	1172	53	340	18	22	9	33	33	33	33	33	33	33	33	33	33	33	33	33	33	49.0	33	0.673469387755102
9	Wolves	990	0	0	0	0	9	3	2	0	493	19	7	13	13	0	324	406	1268	24	306	12	18	8	14	14	14	14	14	14	14	14	14	14	14	14	14	14	49.0	14	0.2857142857142857
10	West Ham	990	1	0	1	1	13	2	1	0	571	14	6	14	26	2	377	464	1260	30	327	20	11	4	17	17	17	17	17	17	17	17	17	17	17	17	17	17	49.0	17	0.3469387755102041
11	Aston Villa	990	2	2	0	0	15	3	2	0	561	24	7	13	23	3	348	433	1285	25	310	23	15	8	25	25	25	25	25	25	25	25	25	25	25	25	25	25	49.0	25	0.5102040816326531
12	Brentford	990	2	1	0	0	9	5	1	0	542	19	11	13	15	3	331	440	1134	31	318	16	16	5	15	15	15	15	15	15	15	15	15	15	15	15	15	15	49.0	15	0.30612244897959184
13	Crystal Palace	990	0	0	0	0	14	6	5	0	640	22	5	10	23	0	410	519	1267	32	316	14	18	3	14	14	14	14	14	14	14	14	14	14	14	14	14	14	49.0	14	0.2857142857142857
14	Chelsea	990	0	0	0	0	10	3	1	0	629	20	10	10	20	0	461	531	1283	26	370	16	11	4	23	23	23	23	23	23	23	23	23	23	23	23	23	23	49.0	23	0.46938775510204084
15	Man City	990	2	1	0	0	11	5	1	0	664	16	10	6	19	3	501	570	989	32	385	41	30	15	35	35	35	35	35	35	35	35	35	35	35	35	35	35	49.0	35	0.7142857142857143
16	Tottenham	990	1	1	0	0	15	6	1	0	840	23	6	8	30	2	631	724	1438	69	465	24	26	13	25	25	25	25	25	25	25	25	25	25	25	25	25	25	49.0	25	0.5102040816326531
